dataset_id,dataset_name,dataset_title,extra_key,extra_value
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,access_constraints,[]
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,bbox-east-long,20.700
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,bbox-north-lat,58.100
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,bbox-south-lat,55.600
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,bbox-west-long,28.500
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,contact-email,toms.tensons@lgia.gov.lv
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,coupled-resource,"[{""title"": [], ""href"": [""https://geolatvija.lv/geonetwork/srv/api/records/97cb1225-7328-4aef-b9b6-73508e85e165/formatters/xml""], ""uuid"": [""97cb1225-7328-4aef-b9b6-73508e85e165""]}]"
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,dataset-reference-date,"[{""type"": ""publication"", ""value"": ""2025-11-20""}, {""type"": ""revision"", ""value"": ""2024-07-05""}, {""type"": ""creation"", ""value"": ""2025-11-20""}]"
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,frequency-of-update,
60f99003-2592-48c3-8d55-28a6f8522ca6,rgas-pilstas-teritorijas-fotorelistiskie-3d-modea-dati,Rīgas pilsētas teritorijas fotoreālistiskie 3D modeļa dati,graphic-preview-description,large_thumbnail
